1,2,4
1,3,7
1,4,5
1,5,3
1,6,2
1,7,6
2,6,10
3,5,9
4,12,5
6,7,15
8,4,2
9,29,21
10,30,22
11,7,3
13,2,10
13,8,2
13,10,22
13,20,8
13,22,20
14,3,9
14,9,21
14,11,3
14,21,23
14,23,11
16,4,8
16,8,28
16,12,4
16,24,12
16,28,32
16,32,24
17,5,12
17,9,5
17,12,25
17,25,33
17,29,9
17,33,29
18,6,15
18,10,6
18,15,26
18,26,34
18,30,10
18,34,30
19,7,11
19,11,31
19,15,7
19,27,15
19,31,35
19,35,27
20,28,8
21,38,23
22,37,20
23,31,11
24,32,44
25,12,24
26,15,27
27,35,47
31,51,35
32,28,48
36,24,44
36,25,24
36,44,56
36,45,25
36,56,45
38,59,61
39,26,27
39,27,47
39,46,26
39,47,57
39,57,46
40,20,37
40,28,20
40,37,58
40,48,28
40,58,62
40,62,48
41,21,29
41,29,49
41,38,21
41,49,63
41,59,38
41,63,59
42,22,30
42,30,50
42,37,22
42,50,64
42,60,37
42,64,60
43,23,38
43,31,23
43,38,61
43,51,31
43,61,65
43,65,51
44,66,56
45,33,25
46,34,26
47,69,57
49,29,33
50,30,34
52,32,48
52,44,32
52,48,70
52,66,44
52,70,75
52,75,66
53,33,45
53,45,67
53,49,33
53,67,76
53,71,49
53,76,71
54,34,46
54,46,68
54,50,34
54,68,87
54,72,50
54,87,72
55,35,51
55,47,35
55,51,73
55,69,47
55,73,88
55,88,69
56,67,45
57,68,46
60,58,37
62,58,79
63,49,71
64,50,72
65,61,84
66,75,94
70,48,62
71,76,91
72,87,92
73,51,65
74,56,66
74,66,94
74,67,56
74,94,106
74,95,67
74,106,95
76,67,95
77,62,79
77,70,62
77,79,98
77,90,70
77,98,90
78,63,71
78,71,91
78,80,63
78,91,99
78,99,80
79,102,98
80,59,63
81,58,60
81,60,83
81,79,58
81,83,104
81,102,79
81,104,102
82,59,80
82,61,59
82,80,103
82,84,61
82,103,105
82,105,84
83,60,64
84,105,101
85,64,72
85,72,92
85,83,64
85,92,100
85,100,83
86,65,84
86,73,65
86,84,101
86,93,73
86,101,93
88,97,69
89,57,69
89,68,57
89,69,97
89,96,68
89,97,107
89,107,96
90,75,70
91,113,99
92,114,100
93,88,73
96,87,68
98,112,90
99,103,80
100,104,83
101,115,93
102,104,125
106,94,116
107,97,119
108,75,90
108,90,112
108,94,75
108,112,128
108,116,94
108,128,116
109,76,95
109,91,76
109,95,117
109,113,91
109,117,129
109,129,113
110,87,96
110,92,87
110,96,118
110,114,92
110,118,130
110,130,114
111,88,93
111,93,115
111,97,88
111,115,131
111,119,97
111,131,119
112,132,128
115,135,131
116,128,136
117,95,106
118,96,107
119,131,139
120,98,102
120,102,125
120,112,98
120,125,140
120,132,112
120,140,132
121,99,113
121,103,99
121,113,133
121,126,103
121,133,141
121,141,126
122,100,114
122,104,100
122,114,134
122,125,104
122,134,142
122,142,125
123,101,105
123,105,126
123,115,101
123,126,143
123,135,115
123,143,135
124,106,116
124,116,136
124,117,106
124,136,137
124,137,117
126,105,103
127,107,119
127,118,107
127,119,139
127,138,118
127,139,138
130,134,114
133,113,129
136,148,137
137,129,117
138,130,118
139,151,138
140,125,142
141,133,153
142,134,154
143,126,141
144,128,132
144,132,152
144,136,128
144,148,136
144,152,156
144,156,148
145,129,137
145,133,129
145,137,148
145,148,157
145,153,133
145,157,153
146,130,138
146,134,130
146,138,151
146,151,158
146,154,134
146,158,154
147,131,135
147,135,155
147,139,131
147,151,139
147,155,159
147,159,151
149,140,142
149,142,154
149,152,140
149,154,160
149,160,152
150,141,153
150,143,141
150,153,161
150,155,143
150,161,155
152,132,140
153,157,161
154,158,160
155,135,143
156,157,148
158,151,159
160,156,152
161,159,155
162,156,160
162,157,156
162,158,159
162,159,161
162,160,158
162,161,157
